Date,Total Cases,Total Recovered,Active cases,Total Deaths
1/4/2020,14,2,12,0
2/4/2020,19,5,14,0
3/4/2020,22,5,17,0
4/4/2020,24,5,19,0
5/4/2020,28,5,23,1
6/4/2020,34,6,27,1
7/4/2020,35,6,27,2
8/4/2020,38,6,30,2
9/4/2020,43,8,33,2
10/4/2020,49,9,38,2
11/4/2020,50,9,39,2
12/4/2020,55,12,41,2
13/04/2020,56,12,42,2
14/04/2020,56,13,41,2
15/04/2020,58,17,39,2
16/04/2020,60,19,39,2
17/04/2020,61,23,36,2
18/04/2020,73,26,45,2
19/04/2020,75,26,47,2
20/04/2020,78,28,47,3
21/04/2020,85,29,53,3
22/04/2020,97,33,43,3
23/04/2020,124,33,88,3
24/04/2020,131,39,89,3
25/04/2020,133,39,91,3
26/04/2020,133,40,90,3
27/04/2020,137,45,89,3
28/04/2020,145,45,97,3
29/04/2020,158,46,109,3
30/04/2020,163,47,113,3
1/5/2020,179,51,125,3
2/5/2020,195,60,132,3
3/5/2020,212,68,141,3
4/5/2020,228,68,157,3
5/5/2020,227,71,153,3
6/5/2020,247,76,168,3
7/5/2020,263,76,184,3
8/5/2020,280,77,200,3
9/5/2020,316,85,228,3
10/5/2020,351,91,256,4
11/5/2020,366,104,258,4
12/5/2020,384,127,252,5
13/05/2020,412,130,275,7
14/05/2020,424,165,251,8
15/05/2020,444,168,267,9
16/05/2020,502,177,315,10
17/05/2020,520,179,330,11
18/05/2020,530,180,339,11
19/05/2020,567,214,341,12
20/05/2020,612,227,370,15
21/05/2020,642,242,383,17
22/05/2020,727,255,454,18
23/05/2020,784,268,498,18
24/05/2020,889,271,600,18
25/05/2020,941,272,647,22
26/05/2020,989,280,686,23
27/05/2020,1051,286,739,26
28/05/2020,1121,297,797,27
29/05/2020,1191,326,838,27
30/05/2020,1240,334,878,28
31/05/2020,1318,355,934,29
1/6/2020,1333,368,934,31
2/6/2020,1404,565,806,33
3/6/2020,1444,580,830,34
4/6/2020,1537,594,909,34
5/6/2020,1612,628,950,34
