"","Y","X","X2"
"1",61,0,0
"2",63,70.6940314363369,22.6602
"3",68,66.7622722824759,7.4719
"4",69,71.7385703972288,8.8083
"5",69,72.9540362093663,6.9456
"6",70,72.8010171424351,5.0097
"7",76,73.0207803597706,3.9006
"8",84,76.7661564882342,4.9493
"9",88,83.6057349728614,7.3641
"10",89,89.6609882148402,8.8058
"11",91,93.2145602553408,8.5894
"12",97,95.7123576496659,7.8637
"13",97,100.04593492136,8.2862
"14",105,101.894225366048,7.2864
"15",108,107.090359353679,8.3055
"16",111,111.38928120731,8.6039
"17",114,115.020825452914,8.4763
"18",125,118.205310153037,8.1416
"19",136,126.060931775797,10.3689
"20",144,136.858494479694,13.6268
"21",161,147.3962147703,15.9678
"22",164,162.97394082377,20.427
"23",174,172.799055674987,20.7633
"24",181,182.883408217462,21.157
"25",185,191.242158293328,20.5396
"26",196,196.634165075973,18.4935
"27",207,204.565006700263,18.2856
"28",211,214.295679195738,19.0838
"29",220,220.850257369321,18.0035
"30",237,228.427291588156,17.7248
"31",250,241.69196531853,20.5348
"32",274,256.057887278527,23.2581
"33",283,277.59258799094,29.1394
"34",291,294.041162074038,30.9119
"35",303,306.075409892838,29.915
"36",61,317.639940328571,28.9069
"37",43,0,0
"38",46,49.8334975698769,15.9736
"39",48,49.9820077993433,8.4061
"40",50,51.1802971653991,6.2661
"41",50,52.8155504157627,5.4633
"42",56,52.9394673648627,4.0848
"43",60,57.0007506064239,5.2967
"44",66,61.3877859994052,6.3525
"45",69,67.1872266180818,7.8922
"46",72,71.8696226951293,8.4869
"47",74,75.7694053175921,8.5296
"48",76,78.5151339029385,7.9497
"49",77,80.5397698926312,7.1244
"50",81,81.5603492284363,5.9625
"51",89,83.8975412812265,5.7786
"52",99,89.6471232418648,7.4522
"53",111,98.7720386769368,10.519
"54",120,111.050058926431,14.5276
"55",127,123.109041608839,17.4614
"56",136,133.367066661594,18.7368
"57",152,143.422916333373,19.5999
"58",164,157.534104626094,22.4114
"59",170,171.608063120193,24.5308
"60",177,181.654924553267,24.0037
"61",183,189.584965663846,22.4779
"62",186,195.637727523885,20.3194
"63",189,198.835908117939,17.1602
"64",191,200.49020814322,13.9361
"65",191,200.906916274,10.8253
"66",209,199.666693055178,7.5779
"67",219,208.834494902237,10.6373
"68",228,219.892401614232,13.9694
"69",236,231.180252596842,16.627
"70",238,241.635737636882,18.2069
"71",251,247.585948938319,17.0151
"72",43,257.348904030602,18.1342
"73",37,0,0
"74",38,42.8799862810568,13.7447
"75",41,40.1037980805866,4.1114
"76",47,43.1225549644709,5.0791
"77",52,49.2993267052174,7.7164
"78",57,55.0110127542235,9.0386
"79",63,60.5231752472266,9.8263
"80",69,66.5995192782209,10.6981
"81",76,72.9442609476479,11.4995
"82",89,80.0253701631565,12.502
"83",101,91.2047178517174,15.4389
"84",108,104.200648911646,18.6491
"85",112,114.938289756593,19.8959
"86",120,122.077385254459,18.9314
"87",134,129.314099313399,18.2497
"88",149,140.418587001038,19.7867
"89",157,154.617971052953,22.6005
"90",163,166.257869279899,23.3814
"91",165,174.769590241039,22.3135
"92",180,178.783643888097,19.1111
"93",192,188.134001709068,19.5098
"94",203,199.298351903934,20.777
"95",229,210.931571538113,21.9904
"96",233,231.973733936999,27.9131
"97",239,245.167725665292,28.2495
"98",251,254.075097671309,26.2277
"99",263,263.980546210808,25.2198
"100",279,274.724535257537,24.8983
"101",303,288.566338036829,26.2998
"102",343,309.305421928641,31.031
"103",365,344.055678533113,42.0758
"104",388,375.910415147502,48.9412
"105",407,405.392050627782,52.904
"106",430,430.190818700881,53.4311
"107",455,454.117103281883,53.3686
"108",37,478.677619408578,53.658
"109",24,0,0
"110",32,27.8140451552801,8.9155
"111",35,39.5128388750271,17.1787
"112",36,41.3586925495317,12.306
"113",40,41.5187371741367,8.6612
"114",47,44.1570070865749,7.9177
"115",57,49.7850650940487,9.0435
"116",61,58.6742142596755,11.5832
"117",63,65.3696036025608,12.3596
"118",68,69.4531325949816,11.5822
"119",73,73.7659370370616,11.1067
"120",75,78.2909884001688,10.8557
"121",76,81.1443383243379,9.7757
"122",87,82.3674123342109,8.0872
"123",94,88.8664210801012,9.6073
"124",105,96.3581439553315,11.2912
"125",111,106.771833836048,14.1248
"126",118,115.736700798548,15.5109
"127",121,124.112909010979,16.2528
"128",134,129.506265129176,15.2324
"129",141,139.133059153628,16.7054
"130",143,147.802215313717,17.3174
"131",147,152.632526748941,15.7432
"132",150,156.242258018857,13.8969
"133",154,158.645010521184,11.8508
"134",155,161.112339862935,10.3282
"135",156,161.989301773796,8.3246
"136",163,162.040559699124,6.3614
"137",168,165.495061235137,6.6759
"138",195,170.044508930252,7.497
"139",215,188.813267428867,15.6772
"140",227,212.022668468184,24.2609
"141",232,232.179655733919,29.1704
"142",247,245.195496296371,29.1115
"143",262,259.408870822081,29.703
"144",24,274.373692312886,30.5523
"145",16,0,0
"146",16,18.5426967701867,5.9437
"147",21,16.5480909276274,0.9243
"148",22,22.7691306713956,5.7312
"149",22,24.5762949588972,5.208
"150",23,24.783730219933,3.9467
"151",24,25.2640575184058,3.2403
"152",25,25.8778143444676,2.7954
"153",25,26.5760246898001,2.5023
"154",26,26.7188616276666,1.9853
"155",27,27.1674145354192,1.75
"156",29,27.8515587170977,1.6952
"157",29,29.3233798251881,2.072
"158",31,30.0561450959363,1.9659
"159",34,31.523452813176,2.2756
"160",36,34.0759916727893,3.0879
"161",37,36.6528138067593,3.7188
"162",42,38.5404800955363,3.8326
"163",45,42.3994610485727,4.9666
"164",48,46.2387589994364,5.8191
"165",53,49.9438627961015,6.3964
"166",55,54.707583010144,7.3982
"167",55,58.2171513813666,7.494
"168",72,59.6047859804586,6.4395
"169",73,70.1492006145032,10.5025
"170",75,76.6339999685111,11.437
"171",77,80.7726209523264,10.9014
"172",78,83.3508948004999,9.6647
"173",78,84.399042229166,7.9108
"174",92,84.0112949960242,5.8132
"175",98,91.5554975224768,8.4318
"176",111,99.3254588606189,10.5443
"177",117,111.272450775889,14.3711
"178",121,121.272789871907,16.2485
"179",126,128.416348832247,16.1591
"180",16,134.197301294902,15.3671
