date,DE,DW,KE,KW,OTH
2/5/2020,61,43,37,24,16
3/5/2020,63,46,38,32,16
4/5/2020,68,48,41,35,21
5/5/2020,69,50,47,36,22
6/5/2020,69,50,52,40,22
7/5/2020,70,56,57,47,23
8/5/2020,76,60,63,57,24
9/5/2020,84,66,69,61,25
10/5/2020,88,69,76,63,25
11/5/2020,89,72,89,68,26
12/5/2020,91,74,101,73,27
13-05-2020,97,76,108,75,29
14-05-2020,97,77,112,76,29
15-05-2020,105,81,120,87,31
16-05-2020,108,89,134,94,34
17-05-2020,111,99,149,105,36
18-05-2020,114,111,157,111,37
19-05-2020,125,120,163,118,42
20-05-2020,136,127,165,121,45
21-05-2020,144,136,180,134,48
22-05-2020,161,152,192,141,53
23-05-2020,164,164,203,143,55
24-05-2020,174,170,229,147,55
25-05-2020,181,177,233,150,72
26-05-2020,185,183,239,154,73
27-05-2020,196,186,251,155,75
28-05-2020,207,189,263,156,77
29-05-2020,211,191,279,163,78
30-05-2020,220,191,303,168,78
1/6/2020,237,209,343,195,92
2/6/2020,250,219,365,215,98
3/6/2020,274,228,388,227,111
4/6/2020,283,236,407,232,117
5/6/2020,291,238,430,247,121
6/6/2020,303,251,455,262,126
